category,faam_property,type,value,base_url,qualifiers
metadata,label,string,Sammlung ausgezeichneter Kompositionen für die Kirche,,
metadata,description,string,,,
metadata,id,id,V26YNnEi,,
metadata,nodegoat_id,id,16005033,,
metadata,FAAM manifestation ID,id,SML-13885,,
metadata,call number,string,M2012 .L94,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,sections,html,"<h1> Volume 1 </h1>
<ol>
<li> Missa für 4 Stimmen von Baldassarre Galuppi </li>
<li> Missa für 4 Stimmen von Antonio Lotti</li>
<li> Missa für 4 Stimmen von Giovanni Maria Casini</li>
<li> Missa für 4 Stimmen von Antonio Bernabei</li>
<li> Missa aeterna Christi munera für 4 Stimmen von Giovanni Pierluigi da Palestrina </li>
<li> Missa super canta Romano für 4 Stimmen von Piedro Heredia</li>
<li> Missa für 4 Stimmen von Pompeo Canniciari</li>
<li> Missa für 4 Stimmen von Giuseppe Antonio Bernabei</li>
<li> Missa für 4 Stimmen von Giovanni Battista Casali</li>
</ol>

<h1> Volume 2 </h1>
<ol>
<li> Missa O quam gloriosum et regnum für 4 Stimmen von Tom. Ludovico da Vittoria </li>
<li> Missa für 4 Stimmen von Antonio Lotti</li>
<li> Missa für 4 Stimmen von Claudio Casciolini</li>
<li> Missa für 4 Stimmen von Antonio Lotti</li>
<li> Missa Iste Confessor für 4 Stimmen von Giovanni Pierluigi da Palestrina </li>
<li> Missa für 4 Stimmen von Antionio Lotti</li>
<li> Missa Veni Creator Spiritus für 4 Stimmen von Giuseppe Antonio Bernabei</li>
<li> Missa Papae Marcelli für 6 Stimmen von Giovanni Pierluigi da Palestrina</li>
<li> Missa pro defunctis für 4 Stimmen von Antonio Lotti. Sactus von Giovanni Battista Pergolese, Postcommunio von Claudio Casciolini</li>
</ol>

<h1> Volume 3 </h1>
<ol>
<li> ...</li>
</ol>

For a detailed list of pieces per volume consult the <a href=""https://imslp.org/wiki/Sammlung_ausgezeichneter_Kompositionen_f%C3%BCr_die_Kirche_(L%C3%BCck%2C_Stephan)"">IMSLP</a> and <a href=""https://www.cpdl.org/wiki/index.php/Sammlung_ausgezeichneter_Kompositionen_f%C3%BCr_die_Kirche"">CPDL</a> pages dedicated to the collection.",,
statements,IMSLP ID,externalid,Sammlung_ausgezeichneter_Kompositionen_f%C3%BCr_die_Kirche_(L%C3%BCck%2C_Stephan),https://imslp.org/wiki/,
statements,date,date,,,
statements,date,date,,,
statements,date,date,,,
statements,date,date,,,
statements,date,date,,,
statements,date,date,,,
statements,date,date,,,
statements,date,date,,,
statements,date,date,,,
statements,date,date,,,
