category,faam_property,type,value,base_url,label
metadata,label,string,André Campra,,
metadata,label,string,André Campra,,
metadata,description,string,French composer and conductor (1660-1744),,
metadata,id,id,AAfzVCYS,,
metadata,nodegoat_id,id,16004284,,
metadata,aliases,string,Andre Campra,,
metadata,aliases,string,André Campra,,
metadata,qid,externalid,Q313860,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,74036950,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30000563,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Campra,_André",https://imslp.org/wiki/,
statements,date of birth,date,1660-12-04,,
statements,date of death,date,1744-06-29,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,related to,item,FSduWvy5,,early music
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,5ABpvHR3,,Aix-en-Provence
statements,place of death,item,mNQbQBie,,Versailles
statements,instrument,item,VZE4bgeN,,violin
statements,employer,item,PuHUWBAB,,Académie Royale de Musique
resources,image,image,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Andr%C3%A9_Campra.jpg/585px-Andr%C3%A9_Campra.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
