category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Le désir - Op. 14,,
metadata,description,string,,,
metadata,id,id,8QXEEZBi,,
metadata,nodegoat_id,id,16005405,,
metadata,FAAM manifestation ID,id,ORP-20143702p23,,
metadata,call number,string,KTS1 H.11.map.004,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,provenance,item,TrYWxDhL,,
statements,instrumentation,item,GoXpNrsh,,
statements,agent,statement,TGbXcxUh,fkHJwpoD||,
statements,role,item,fkHJwpoD,,
resources,thumb,image,ORP-20143702p23.gif,,../assets/images/thumbs/
