category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Couperin's Werke / Teil 1 / hrsg. von Johannes Brahms,,
metadata,description,string,,,
metadata,id,id,SjjfyqFL,,
metadata,nodegoat_id,id,15992798,,
metadata,FAAM manifestation ID,id,SUH-819290386,,
metadata,call number,string,"M B/1813: 1,2",,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1871,,
statements,date,date,1871,,
statements,date,date,1713,,
statements,editorial annotation,item,VMA2AmEN,,
statements,editorial annotation,item,A4NPbBsi,,
statements,editorial annotation,item,MHbLSqqz,,
statements,provenance,item,88PwdAPd,,
statements,keyword,item,2FVr93JH,,
statements,keyword,item,FSduWvy5,,
statements,keyword,item,RHxmTGG2,,
statements,keyword,item,9farY66Z,,
statements,keyword,item,Cud74GBt,,
statements,instrumentation,item,8REteAN5,,
statements,instrumentation,item,YmTjo9Ww,,
statements,musical work,item,MYrDfGsq,,
statements,agent,statement,gdjFgpdt,NgFpoygv||1871,
statements,agent,statement,Mom3rq37,45qo3Fj3||1871,
statements,agent,statement,Z5NoBG6x,fkHJwpoD|GDeKaNeC|1713,
statements,role,item,NgFpoygv,,
statements,role,item,45qo3Fj3,,
statements,role,item,fkHJwpoD,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,SUH-819290386.gif,,../assets/images/thumbs/
