category,faam_property,type,value,qualifiers,base_url
metadata,label,string,"Pierluigi da Palestrina's Werke. 2: Fünf-, sechs- und achtstimmige Motetten",,
metadata,description,string,,,
metadata,id,id,UJLTRM5b,,
metadata,nodegoat_id,id,15992766,,
metadata,FAAM manifestation ID,id,BSB-991082707169707356,,
metadata,call number,string,S nv/Ol 2-1/3,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1862,,
statements,editorial annotation,item,F9XSfSvU,,
statements,provenance,item,FDCuefHz,,
statements,keyword,item,FSduWvy5,,
statements,keyword,item,MEjPi9ot,,
statements,keyword,item,jTMjFsDj,,
statements,instrumentation,item,KJkThvsq,,
statements,instrumentation,item,5yLc7bQJ,,
statements,agent,statement,Ddx923Ut,fkHJwpoD||,
statements,agent,statement,XVpibGGu,GBgJfRbK|GKcJxAtt|1862,
statements,agent,statement,TPZULZmQ,45qo3Fj3||,
statements,agent,statement,9MCtsKYb,45qo3Fj3||,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,45qo3Fj3,,
statements,role,item,45qo3Fj3,,
statements,place,item,GKcJxAtt,,
resources,thumb,image,BSB-991082707169707356.gif,,../assets/images/thumbs/
