category,faam_property,type,value,qualifiers,base_url
metadata,label,string,"Symphony No. 5, I: Trauermarsch",,
metadata,description,string,,,
metadata,id,id,3fVEC7NN,,
metadata,nodegoat_id,id,16003968,,
metadata,FAAM manifestation ID,id,WML-768457,,
metadata,call number,string,uu_mckay_asc,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,provenance,item,3xcm7SKP,,
statements,keyword,item,mgrwHwTj,,
statements,instrumentation,item,g7hgtzmM,,
statements,musical work,item,U9Bv5pbA,,
statements,agent,statement,BFrbSzjH,2ZAuwsSp||,
statements,agent,statement,DMmrDj7M,fkHJwpoD||,
statements,role,item,2ZAuwsSp,,
statements,role,item,fkHJwpoD,,
resources,thumb,image,WML-768457.gif,,../assets/images/thumbs/
