category,faam_property,type,value,label,qualifiers
metadata,label,string,"Septet in C ""Militaire"" Oeuvre 114 : voor piano, Flute, Clarinet, trompet, Violin, cello en DoubleBass",,
metadata,description,string,,,
metadata,nodegoat_id,id,15992605,,
metadata,FAAM manifestation ID,id,KCG-000350286,,
metadata,call number,string,II-5 (BIS),,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score format,item,g5WgfTuF,Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1848,,
statements,handwritten annotation,item,eviEKifd,dynamic,
statements,handwritten annotation,item,CPJ2a2C2,articulation,
statements,handwritten annotation,item,VMA2AmEN,performance practice,
statements,handwritten annotation,item,6cyBEJLr,fingering,
statements,handwritten annotation,item,B7WuhvkL,fermata,
statements,handwritten annotation,item,bsgSL8K5,Rehearsal letter,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,
statements,keyword,item,6kwYh3HH,chamber music,
statements,instrumentation,item,GoXpNrsh,piano,
statements,instrumentation,item,ZzdCbB2M,trumpet,
statements,instrumentation,item,VZE4bgeN,violin,
statements,instrumentation,item,4oyT6BBG,cello,
statements,instrumentation,item,5cucf8tb,double bass,
statements,instrumentation,item,MV3uErvy,flute,
statements,instrumentation,item,4AUBYBXJ,clarinet,
statements,musical work,item,H8g96wVM,"Septet No.2, Op.114",
statements,agent,statement,3NyookEG,Anonymous,GoiPpGap|8LdweD7c|1848
statements,agent,statement,kZj58UuH,Johann Nepomuk Hummel,fkHJwpoD||
statements,role,item,GoiPpGap,performing artist,
statements,role,item,fkHJwpoD,composer,
statements,place,item,8LdweD7c,Ghent,
