category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Pavane,,
metadata,description,string,,,
metadata,id,id,6b3U2ggK,,
metadata,nodegoat_id,id,16005561,,
metadata,FAAM manifestation ID,id,ORP-20143988p58,,
metadata,call number,string,KTS1 H.11.map.008,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,note,html,"L'Illustration, N. 3257
L'Illustration, N. 3257",,
statements,date,date,24-02-1905,,
statements,provenance,item,TrYWxDhL,,
statements,keyword,item,FSduWvy5,,
statements,keyword,item,RHxmTGG2,,
statements,instrumentation,item,8dmpbmcx,,
statements,agent,statement,ckzSupFr,fkHJwpoD||,
statements,agent,statement,ckzSupFr,fkHJwpoD||,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|24-02-1905,
statements,role,item,fkHJwpoD,,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,GBgJfRbK,,
statements,place,item,GDeKaNeC,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,ORP-20143988p58.gif,,../assets/images/thumbs/
