category,faam_property,type,value,qualifiers,base_url
metadata,label,string,François Couperin: Musik für cembalo,,
metadata,description,string,,,
metadata,id,id,nkjvrrZM,,
metadata,nodegoat_id,id,16004378,,
metadata,FAAM manifestation ID,id,KCA-VU15216,,
metadata,call number,string,VU,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,sections,html,"<ul>
<li> Première Courante </li>
<li> La Nanette </li>
<li> La Voluptueuse </li>
<li> Fureurs Bachiques</li>
<li> Les Moissonneurs </li>
<li> Les Baricades Mistérieuses </li>
<li> Le Moucheron </li>
<li> Le Fileuse </li>
<li> Le Couperin</li>
</ul>",,
statements,date,date,1933,,
statements,date,date,07-1932,,
statements,editorial annotation,item,VMA2AmEN,,
statements,editorial annotation,item,eviEKifd,,
statements,provenance,item,6vrn9seu,,
statements,keyword,item,FSduWvy5,,
statements,instrumentation,item,YmTjo9Ww,,
statements,agent,statement,Z5NoBG6x,fkHJwpoD||,
statements,agent,statement,NRww8qLc,GBgJfRbK|bQrMhWj5|1933,
statements,agent,statement,MPkByrSx,45qo3Fj3|WqN8iKDp|07-1932,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,45qo3Fj3,,
statements,place,item,bQrMhWj5,,
statements,place,item,WqN8iKDp,,
resources,thumb,image,KCA-VU15216.gif,,../assets/images/thumbs/
